TransactionAmount,TransactionHour,TransactionDayOfWeek,IsWeekend,TransactionDistanceKm,CustomerAge,CityPopulation,TransactionCategoryEncoded,IsFraud
5.34,19,4,0,66.0929255198165,48.0,1563,11,0
81.82,16,1,0,37.499838581098714,39.0,647,7,0
78.59,9,1,0,59.72667791646648,84.0,369,2,0
79.69,2,5,1,49.444375142276314,84.0,3119,0,0
152.33,9,5,1,65.01330333760308,64.0,5908,1,0
61.37,9,6,1,58.072604794927535,53.0,105549,4,0
20.02,13,6,1,24.288744145343294,30.0,2607,10,0
3.37,0,3,0,67.08485645482301,70.0,134056,12,0
2.1,13,6,1,113.88132123988292,47.0,3395,5,0
28.01,16,4,0,115.10221948786683,70.0,260,6,0
4.13,12,2,0,79.80061831366268,43.0,1930,12,0
4.65,22,3,0,89.61109020365284,29.0,3224,7,0
52.33,18,3,0,64.36841881366269,68.0,4895,5,0
97.46,1,3,0,31.675727472376987,48.0,1988,4,0
175.04,7,4,0,66.81006521588179,55.0,753116,4,0
44.18,21,1,0,71.26937410890702,33.0,970,1,0
109.47,15,5,1,89.6001180629437,71.0,466,6,0
70.19,9,3,0,78.93921729694846,36.0,77,2,0
47.0,6,4,0,110.01020781314453,51.0,5548,4,0
2.11,20,0,0,54.8455622025469,26.0,28425,8,0
190.86,1,1,0,42.378406471695484,55.0,34882,4,0
71.57,22,0,0,117.9864022466037,37.0,140,6,0
111.23,0,0,0,107.50810537843587,34.0,53,4,0
3.25,14,4,0,87.81579146858948,36.0,9772,12,0
96.81,8,5,1,75.01368035131502,45.0,836,4,0
48.84,10,6,1,73.45817034610184,38.0,477,3,0
7.5,9,6,1,68.73754576629136,66.0,3487,9,0
99.79,8,4,0,84.4457123163865,37.0,140,4,0
153.25,10,3,0,48.707632675645456,95.0,397,4,0
8.71,20,6,1,99.3120986150855,28.0,4542,13,0
6.26,13,5,1,51.53460338868449,44.0,42817,13,0
29.16,14,2,0,90.79716104564312,39.0,94325,1,0
7.87,6,6,1,76.13380783242806,75.0,1178,8,0
5.15,17,5,1,73.98132267637988,54.0,1760,12,0
61.46,17,1,0,24.601499626336135,37.0,286,1,0
4.13,8,3,0,88.18544184122115,68.0,1271,12,0
78.85,2,3,0,66.65813722404485,52.0,1804,8,0
79.47,21,5,1,51.732550535127466,83.0,1263321,6,0
7.75,7,5,1,107.7153374683517,64.0,4367,0,0
59.79,3,0,0,104.6995704809043,37.0,530,2,0
44.32,17,2,0,78.28436088027632,36.0,7297,1,0
135.17,10,0,0,124.86503645941409,40.0,795,12,0
5.3,11,1,0,65.33127234251867,77.0,237282,9,0
6.14,18,0,0,49.48858066305999,38.0,7646,11,0
5.97,22,3,0,40.72209000034948,41.0,2906700,11,0
77.55,6,0,0,62.54231743264911,74.0,137067,1,0
91.12,3,1,0,75.88021597328115,37.0,140,4,0
69.98,18,5,1,59.96866076200731,26.0,28425,7,0
99.8,1,0,0,10.222435910043467,75.0,8512,2,0
46.62,11,5,1,54.876779450009394,38.0,888,2,0
33.97,14,6,1,29.014358166688734,90.0,15426,6,0
69.11,8,1,0,51.94489683173511,48.0,10076,2,0
11.28,21,6,1,124.17076610549685,26.0,28425,10,0
1.29,2,1,0,40.73601045561225,65.0,92043,12,0
15.2,13,5,1,19.423802448301217,42.0,85,7,0
36.45,3,6,1,105.35088752338673,58.0,10256,1,0
9.35,17,3,0,70.82132206906805,61.0,470,13,0
1655.93,21,0,0,56.82646907341767,49.0,33917,12,0
6.34,18,0,0,125.59561393525406,34.0,4512,6,0
66.29,11,6,1,63.751274211671394,51.0,878,2,0
47.92,0,1,0,55.9162743729666,25.0,92608,2,0
54.43,22,2,0,99.72076253988958,51.0,5548,6,0
10.5,15,0,0,111.74150207235776,29.0,3224,0,0
86.79,10,6,1,87.9234012135134,52.0,645,4,0
5.78,15,3,0,101.86864924117761,43.0,116155,10,0
98.35,13,2,0,15.266716848097452,36.0,9772,6,0
189.47,17,5,1,69.24788846841238,39.0,46,6,0
61.69,1,5,1,58.23577873554931,72.0,133,2,0
37.79,7,5,1,95.23390951468669,67.0,5619,2,0
69.4,21,0,0,76.19588626313757,21.0,267,0,0
32.62,15,0,0,108.12463548905704,67.0,1131,5,0
392.56,0,0,0,99.06529966366341,80.0,128,9,0
63.31,16,0,0,59.17478953050853,40.0,105638,5,0
72.04,2,1,0,102.50547099247089,77.0,237282,3,0
41.01,6,3,0,105.78920075266922,33.0,19408,4,0
128.6,6,6,1,14.20006188961089,72.0,695,4,0
6.22,18,5,1,75.62474193246551,23.0,5666,11,0
2.53,3,3,0,85.92978702833926,86.0,61,9,0
88.41,21,2,0,111.05781115386097,37.0,632,6,0
85.75,11,6,1,100.2956323797882,62.0,2317,11,0
1.82,12,2,0,14.0275462410866,60.0,1383,13,0
71.57,0,5,1,62.368061221459,26.0,8874,2,0
40.22,23,2,0,32.62615344973892,40.0,795,7,0
3.16,14,6,1,78.16942092631757,46.0,5512,11,0
46.05,23,6,1,75.66407656758567,46.0,509,7,0
50.15,6,1,0,89.04624641027402,72.0,969,3,0
22.44,22,3,0,70.36275893102206,32.0,1684,6,0
1.23,19,5,1,33.74107081382378,31.0,5719,12,0
122.14,3,6,1,111.67238515200813,38.0,606,4,0
83.72,14,1,0,63.2661057092808,52.0,1480,6,0
469.61,10,0,0,53.24078123413354,56.0,365,8,0
1.02,20,5,1,106.09817660032509,58.0,743,5,0
84.96,1,5,1,81.4298089068407,33.0,123373,9,0
63.78,6,6,1,71.19906859726949,83.0,1263321,2,0
169.78,2,2,0,111.37084563414481,33.0,54185,4,0
6.98,21,3,0,88.2677694138657,35.0,194500,11,0
3.88,12,3,0,101.13723621172913,39.0,32891,7,0
118.68,14,6,1,75.00947705927952,25.0,272,5,0
58.76,4,5,1,75.57560425608469,48.0,5760,3,0
2.57,14,0,0,91.44890910121536,68.0,1271,7,0
90.18,0,0,0,55.19972414712626,54.0,5901,4,0
33.41,19,6,1,36.07892728000496,41.0,760,7,0
116.88,20,1,0,130.34375388483286,43.0,2906700,7,0
7.78,22,3,0,92.24710507589175,90.0,1288,7,0
124.38,5,1,0,28.331822097866606,38.0,888,4,0
22.53,7,1,0,94.7705789845714,43.0,178,3,0
83.3,20,6,1,77.02122771427446,28.0,1423,0,0
106.07,10,4,0,73.21305773265091,50.0,1643,4,0
134.88,6,2,0,21.7815986516365,41.0,760,4,0
94.51,16,6,1,59.44331023637049,60.0,47772,6,0
82.34,23,0,0,103.86018540391886,49.0,378909,1,0
72.53,19,0,0,90.49589401477229,46.0,686,0,0
43.08,8,0,0,59.69675711370296,75.0,427,2,0
5.91,19,0,0,100.93443940247337,59.0,673342,13,0
99.3,5,5,1,112.18627314873815,52.0,177,4,0
1.41,12,1,0,90.50031240843714,50.0,324,1,0
14.26,19,5,1,67.08683855915476,37.0,71463,7,0
94.77,7,4,0,64.4580420606908,37.0,167,4,0
819.53,3,4,0,64.6126361209721,29.0,973849,8,1
13.35,17,6,1,67.42620675863797,39.0,46,9,0
70.43,0,0,0,52.86778968751399,57.0,4138,2,0
42.81,21,3,0,64.5439340902594,61.0,1791,7,0
40.34,6,2,0,91.05126261864129,50.0,513,3,0
93.87,1,3,0,42.55585176488839,53.0,123,4,0
126.66,8,4,0,115.75792937984812,45.0,49,12,0
205.3,17,5,1,64.08813622637156,33.0,2691,11,0
44.58,12,6,1,73.70027766167415,44.0,23727,1,0
129.32,4,2,0,119.50352722507715,60.0,24645,1,0
138.2,5,1,0,61.997010722212345,81.0,6713,3,0
121.06,10,2,0,30.413544597062742,63.0,298,4,0
7.92,22,5,1,82.87520807768134,62.0,192,13,0
61.13,23,4,0,120.92416100264943,42.0,59744,11,0
62.64,20,3,0,84.47261429437053,52.0,1804,0,0
106.29,6,6,1,90.80439544433591,80.0,642,4,0
83.42,10,5,1,59.4513364302539,47.0,349,4,0
82.09,7,0,0,94.08804445135455,46.0,5512,3,0
56.09,8,5,1,96.32769940237255,58.0,10256,2,0
33.76,14,4,0,66.00926928587572,38.0,7646,0,0
1.3,12,5,1,69.90104906724905,54.0,1760,9,0
79.95,6,6,1,103.74110592478928,39.0,910148,2,0
76.82,21,1,0,43.89350266747759,71.0,973849,7,0
79.18,5,3,0,24.321901768285457,38.0,151815,8,0
153.2,15,2,0,117.96227907392219,44.0,3684,0,0
57.87,21,1,0,54.34871625336531,35.0,828,7,0
1.84,14,4,0,84.94668419023488,68.0,308,5,0
7.63,8,0,0,23.263111294294237,97.0,18459,12,0
113.6,4,6,1,112.36240821754315,57.0,648,4,0
94.94,12,6,1,22.15956710670028,49.0,11250,9,0
9.47,21,5,1,48.6030463012637,84.0,369,10,0
77.76,18,3,0,97.2272674614063,53.0,110,10,0
40.55,12,6,1,74.55142462384842,52.0,14871,1,0
2.51,11,0,0,62.8295111106174,56.0,45303,9,0
92.28,11,0,0,66.72446780476862,64.0,4367,12,0
69.45,22,1,0,60.01698709216357,43.0,1166,8,0
53.6,21,1,0,79.59798929181142,38.0,3285,0,0
39.93,19,5,1,25.146450257485775,71.0,973849,6,0
2.69,17,2,0,32.3274803870678,62.0,6581,10,0
52.33,19,5,1,71.67219392096113,55.0,5950,6,0
87.84,6,0,0,83.03352559619618,40.0,1645,4,0
86.13,8,5,1,69.41168068288869,31.0,1770,4,0
14.19,15,4,0,53.014516776766115,35.0,8830,6,0
4.69,16,6,1,61.30860328704258,46.0,5512,13,0
23.92,16,5,1,101.13196508524722,41.0,1526206,11,0
144.94,22,2,0,116.26819541565753,32.0,391389,0,0
22.04,12,2,0,121.19770878106907,61.0,4664,6,0
44.57,14,4,0,130.08110749257838,68.0,2566,5,0
166.55,4,2,0,114.83918417116621,33.0,5161,4,0
3.0,22,2,0,48.365056897838535,30.0,564,5,0
22.83,17,3,0,91.05314510265762,41.0,824,7,0
64.08,7,2,0,52.28053757478203,41.0,12349,8,0
3.97,22,0,0,79.26325078798625,54.0,922,1,0
495.32,21,3,0,96.27425003165003,42.0,144160,12,0
93.09,20,1,0,65.33569608445235,27.0,895,8,0
58.26,7,6,1,47.35880654504511,54.0,922,2,0
52.76,21,6,1,50.033963156519775,37.0,140,1,0
2.7,22,5,1,127.36417125101137,33.0,123373,12,0
115.01,2,6,1,110.50933009698599,64.0,1766,4,0
73.15,6,4,0,99.75506722543008,71.0,350,0,0
47.64,14,3,0,29.51338111724619,48.0,1446,7,0
88.19,4,1,0,113.76951811058181,48.0,565,11,0
261.4,19,0,0,72.89139259343347,39.0,1186,5,0
3.24,21,6,1,89.23720016627175,55.0,2526,13,0
139.49,6,3,0,36.334542399597645,70.0,532,4,0
30.08,20,4,0,106.12622975588124,64.0,628,5,0
4.7,14,6,1,98.60880077169712,58.0,333497,13,0
12.36,18,6,1,72.7209684195626,36.0,77,1,0
194.41,11,5,1,91.06432896891546,45.0,1312922,8,0
50.1,19,1,0,20.650102587872013,59.0,581,6,0
18.04,16,5,1,18.70124198967149,53.0,2121,10,0
9.13,13,1,0,99.97989187382228,51.0,3096,11,0
4.37,13,5,1,125.31358226438759,50.0,19054,9,0
1.33,2,1,0,88.46781229881167,61.0,804,9,0
77.28,18,1,0,70.33406780447085,37.0,1078,6,0
46.43,7,3,0,70.16951082787479,36.0,4056,3,0
67.19,14,3,0,77.79754851815754,36.0,137,1,0
59.26,20,5,1,55.44965028706621,42.0,3451,1,0
77.56,5,4,0,80.17148214504819,71.0,355,2,0
35.22,16,2,0,121.63281292164329,29.0,3224,5,0
85.0,1,5,1,87.11000562052493,68.0,2566,2,0
39.97,19,5,1,48.26781162272261,97.0,276,6,0
9.79,12,5,1,102.7407899826227,27.0,2870,12,0
41.87,13,1,0,61.002163802219734,39.0,647,5,0
46.47,21,5,1,112.90487739733685,38.0,2523,12,0
66.73,18,5,1,97.43606634045214,45.0,5848,7,0
38.62,15,3,0,84.12871717977313,32.0,391389,7,0
125.93,16,0,0,63.54213736263625,48.0,158701,6,0
1.02,11,0,0,86.21565779792145,66.0,502,9,0
57.47,18,0,0,111.68751363348474,37.0,1078,1,0
162.5,2,0,0,115.34537432871488,90.0,1288,4,0
11.59,20,4,0,100.61403305887336,28.0,17867,6,0
4.23,3,0,0,44.35809790492344,97.0,19090,12,0
118.87,6,1,0,81.0048475540362,61.0,804,4,0
21.58,7,6,1,56.693163967883905,51.0,320420,9,0
9.14,8,5,1,91.38373512947844,65.0,736284,8,0
238.04,0,0,0,94.22571777929339,40.0,105638,8,0
15.5,19,3,0,82.60969711247124,56.0,190,0,0
62.55,9,6,1,80.14377344237772,23.0,1512,2,0
35.76,21,6,1,99.37867741125085,30.0,564,6,0
3.71,18,6,1,83.21415075222976,27.0,2870,11,0
4.96,23,0,0,128.1747739293862,26.0,28739,1,0
47.22,4,4,0,130.32478373397456,44.0,1571,9,0
33.38,16,5,1,74.40679767201708,49.0,16183,10,0
39.19,8,6,1,37.095066099495504,58.0,2470,2,0
9.31,14,1,0,114.12058222614158,39.0,5211,13,0
88.8,7,5,1,106.87522955128973,97.0,52126,2,0
20.16,23,1,0,106.13008495405333,54.0,55581,6,0
40.59,19,6,1,95.4874663047186,26.0,8874,10,0
218.66,4,4,0,99.06091890468494,47.0,6469,4,0
1.31,7,3,0,90.8143958075314,81.0,1165,8,0
108.78,21,3,0,45.99174458632495,76.0,5457,6,0
195.63,3,0,0,86.01903697539305,51.0,1263321,4,0
38.93,21,2,0,34.39428283781545,54.0,271,1,0
56.43,13,1,0,105.74370193129602,48.0,5760,10,0
4.28,17,4,0,93.2978765935431,95.0,571,5,0
84.86,8,5,1,65.50817359643781,41.0,718,2,0
18.98,13,4,0,101.46932444429301,57.0,1656,1,0
66.38,1,6,1,84.99052863130059,32.0,71335,2,0
56.87,2,1,0,63.69565793490869,49.0,1680,3,0
64.62,8,6,1,100.28408338285355,34.0,86954,2,0
51.09,6,6,1,73.81037950276242,66.0,1506,2,0
42.07,17,1,0,52.75966542912066,72.0,969,5,0
44.0,14,5,1,47.49611414944527,56.0,46563,7,0
62.07,21,6,1,64.4358688452543,40.0,11432,1,0
1.66,18,0,0,100.28119514050721,53.0,687276,9,0
86.21,16,5,1,58.80127863347018,43.0,116155,7,0
121.13,21,1,0,105.38343567558346,23.0,1512,1,0
79.33,19,1,0,82.44321808359848,40.0,741,0,0
49.56,15,5,1,60.654752522966916,44.0,639,7,0
42.64,14,3,0,77.47724002924633,86.0,493,0,0
149.87,12,5,1,50.74710201152451,51.0,5548,5,0
65.33,14,4,0,105.04829538897899,38.0,888,6,0
28.4,20,4,0,95.53287516539649,44.0,4729,6,0
72.82,11,0,0,25.545840300526613,50.0,1595797,4,0
40.75,4,6,1,99.31340803250706,38.0,888,3,0
95.2,6,2,0,74.09848731452855,35.0,1382480,2,0
6.56,22,1,0,19.663821217575705,34.0,4512,1,0
3.47,16,5,1,39.41285625509297,75.0,1139,6,0
8.75,16,2,0,62.68641258589499,32.0,391389,13,0
18.4,21,3,0,58.40038438796466,77.0,4508,7,0
5.8,21,6,1,58.200043539038965,75.0,1139,0,0
9.85,14,6,1,32.91258408206678,48.0,1563,13,0
25.65,2,4,0,61.35104640463831,32.0,4354,3,0
25.17,14,0,0,18.245705112048096,64.0,1766,1,0
2.28,11,6,1,77.55000810098012,92.0,12486,12,0
210.19,11,0,0,113.77170506703824,45.0,124967,8,0
145.07,5,5,1,59.51951650012362,86.0,61,11,0
75.49,3,6,1,100.3527398666512,62.0,3032,1,0
71.6,22,6,1,117.17940409340167,42.0,1858,6,0
42.86,4,0,0,56.3691858818712,32.0,641,9,0
3.67,16,5,1,86.23244888872989,25.0,92608,12,0
3.37,10,5,1,133.86238848217414,57.0,23,11,0
101.99,5,1,0,38.57162462800525,77.0,1274,2,0
522.05,14,0,0,72.93118416304301,47.0,595,13,0
18.0,23,2,0,74.08296623977348,37.0,530,7,0
107.79,0,0,0,48.38725390454167,55.0,5950,2,0
19.42,18,5,1,13.790461180141332,70.0,263,7,0
86.83,19,0,0,110.60133512680763,41.0,19685,6,0
79.41,11,1,0,56.98718372386478,64.0,370,2,0
69.36,7,0,0,125.13330391297329,53.0,749635,2,0
181.18,1,0,0,65.35609584885299,52.0,14871,4,0
50.79,11,3,0,3.1815778126514855,26.0,111,2,0
4.55,12,0,0,69.4542344366459,28.0,166081,11,0
5.07,17,6,1,79.93529738297534,54.0,31515,7,0
27.78,16,5,1,63.34830803873632,21.0,267,11,0
96.04,21,0,0,63.229907539745746,47.0,6469,7,0
39.16,8,0,0,81.19028119916109,39.0,647,8,0
9.37,22,6,1,119.03445564135126,65.0,2158,7,0
52.98,9,3,0,75.41778351442385,42.0,3451,4,0
105.04,3,3,0,44.25252365967301,93.0,3289,3,0
110.26,0,6,1,120.95429513386003,42.0,467,4,0
6.94,3,4,0,33.39823137085244,63.0,222,12,0
76.15,23,3,0,84.41006733337422,48.0,565,5,0
8.03,8,6,1,65.11947219331417,86.0,8007,9,0
139.12,20,0,0,109.65907626845406,31.0,372,12,0
47.15,9,5,1,29.558207944704908,29.0,972,2,0
138.0,5,6,1,88.77756812520391,80.0,2518,1,0
90.38,7,0,0,91.98725954312732,37.0,530,4,0
42.55,14,6,1,118.00781958383624,76.0,776,6,0
4.8,17,4,0,90.18437522057643,33.0,116001,12,0
50.64,8,0,0,83.65389232495733,50.0,1595797,4,0
52.68,7,0,0,59.79502550064677,72.0,139,3,0
82.29,21,1,0,80.77357904898804,55.0,479994,5,0
9.29,23,4,0,110.71271496247067,41.0,6951,10,0
81.17,14,0,0,18.372650635709473,46.0,134056,7,0
3.65,12,1,0,30.372905591979094,28.0,3202,10,0
9.72,15,6,1,12.666804018404097,39.0,16163,12,0
151.83,18,0,0,20.304051823394136,49.0,1680,12,0
175.76,14,3,0,47.87376468481882,76.0,13717,10,0
14.91,12,0,0,53.845731523381225,58.0,248,10,0
54.03,7,2,0,104.09356406831176,38.0,888,2,0
3.82,14,6,1,68.49039951310641,48.0,158701,1,0
138.68,21,6,1,44.541286945064684,32.0,95,12,0
8.03,7,6,1,71.97009209617397,60.0,277,12,0
7.02,1,3,0,111.29246147838754,62.0,11751,11,0
3.91,17,0,0,74.61324124303351,42.0,3766,11,0
61.53,13,5,1,111.86282631426397,44.0,395,1,0
4.8,8,5,1,76.0350927023616,56.0,365,11,0
5.18,15,4,0,75.60105810766787,55.0,2526,1,0
5.09,5,0,0,41.34069159548397,38.0,151815,8,0
6.83,15,5,1,92.85629907741833,55.0,248858,9,0
81.92,3,6,1,114.69230507644939,70.0,70,2,0
216.1,21,2,0,52.04373796543822,40.0,2836,0,0
1.04,21,2,0,20.37222254992247,50.0,19054,12,0
72.73,13,1,0,83.53296345813044,33.0,1504,0,0
15.35,14,6,1,27.914658150030412,91.0,31970,5,0
104.89,15,1,0,46.78135600547516,28.0,3202,5,0
67.9,6,6,1,4.2952315835975,60.0,1420,2,0
1.05,18,2,0,81.13981585732213,53.0,190178,11,0
25.52,16,4,0,102.14526451829222,51.0,1725,7,0
79.61,3,5,1,69.5414782014408,41.0,1493,2,0
3.42,23,6,1,55.76799906352438,42.0,13602,13,0
37.66,8,6,1,73.44553890247812,56.0,365,2,0
63.47,16,1,0,88.27830972078844,35.0,1382480,0,0
1.66,15,5,1,53.829194431274864,65.0,247,13,0
57.34,7,0,0,76.1326291351368,67.0,198,2,0
67.42,9,4,0,119.3364227522323,54.0,1760,2,0
8.79,20,3,0,19.131861298553122,33.0,54185,11,0
170.21,22,3,0,109.1617002684643,49.0,378909,10,0
9.16,2,1,0,23.37654260505518,67.0,6460,11,0
62.17,16,5,1,82.35746006309948,42.0,79008,6,0
123.98,15,4,0,98.4235707928929,42.0,144160,7,0
3.19,11,0,0,46.58591887959352,76.0,467,9,0
47.15,22,6,1,22.30135739574694,47.0,172247,5,0
111.69,10,4,0,67.30116134155175,61.0,4664,4,0
34.22,8,0,0,65.48735549604872,93.0,18760,2,0
4.43,18,6,1,78.03484348155426,27.0,3807,9,0
124.07,2,6,1,13.839555020935109,35.0,498,4,0
33.9,0,4,0,36.89731242503343,50.0,3776,3,0
155.83,19,4,0,60.364632446930244,70.0,263,1,0
7.01,16,5,1,112.3803539214014,35.0,1228,11,0
132.15,1,3,0,109.4046189315862,67.0,1241364,1,0
9.69,23,6,1,83.42306860254149,33.0,2691,12,0
45.24,20,1,0,94.74558595074892,64.0,153,7,0
43.46,18,0,0,129.0364827718853,67.0,464,0,0
108.68,8,5,1,94.6584675454208,54.0,1261,4,0
1.21,14,6,1,59.440620383011336,52.0,14871,11,0
26.7,14,6,1,66.58806007133738,92.0,5648,5,0
60.81,9,0,0,85.30092687390469,50.0,324,2,0
45.99,16,0,0,84.9655790746647,55.0,5950,6,0
53.58,12,5,1,64.17197931437181,44.0,42817,11,0
66.69,20,5,1,96.88581685103325,40.0,2223,1,0
57.64,13,6,1,81.27613326136425,53.0,1749,7,0
1.58,15,6,1,91.52790139993105,26.0,1312922,11,0
27.86,13,6,1,75.54158966801674,60.0,1383,0,0
224.04,4,0,0,121.99290966186047,42.0,144160,4,0
197.51,13,0,0,108.86757381892107,45.0,836,5,0
97.07,3,0,0,70.16348804777368,51.0,1841,4,0
79.66,16,3,0,91.95068888008578,88.0,4081,6,0
29.85,20,6,1,117.21306614242862,55.0,248858,0,0
79.15,20,2,0,52.61413270444126,52.0,1453,0,0
69.28,3,6,1,100.84033769369294,45.0,124967,4,0
126.82,12,4,0,91.65980269433422,28.0,1423,9,0
4.02,16,0,0,101.65749709895465,95.0,571,13,0
13.5,16,4,0,68.45882521796662,27.0,2870,0,0
75.39,12,2,0,53.60727392753438,40.0,99,10,0
1.62,15,5,1,105.39486911872436,54.0,528,1,0
8.71,20,5,1,104.32074922277869,35.0,498,5,0
32.51,7,4,0,68.78449484789836,52.0,177,9,0
132.32,10,5,1,99.40519169602432,82.0,914,4,0
74.76,9,4,0,111.50020937387833,45.0,49,2,0
40.46,5,5,1,64.05909749600522,38.0,7646,3,0
114.33,3,2,0,92.48585179377251,50.0,313,4,0
14.16,23,4,0,61.28202919043606,25.0,272,6,0
106.94,21,3,0,111.65494307036245,51.0,566,6,0
285.65,22,5,1,79.955428943614,62.0,192,5,0
28.01,10,0,0,57.90787217578002,31.0,128715,3,0
56.61,16,0,0,87.63260809169769,73.0,1831,7,0
50.28,15,0,0,104.2668061584847,32.0,391389,10,0
6.73,8,4,0,108.4028959936583,58.0,9587,12,0
9.04,19,0,0,68.15553698497736,71.0,76,5,0
91.56,0,0,0,68.15194939125462,53.0,123,4,0
3.79,21,6,1,88.78391534470867,43.0,186140,10,0
56.19,10,0,0,102.91722590017551,46.0,134056,2,0
43.97,15,0,0,50.50625766715288,34.0,128354,11,0
188.08,21,1,0,105.02702016236928,42.0,59744,11,0
85.36,19,1,0,72.19735895005846,56.0,1979,7,0
5.22,20,1,0,56.50155397525021,48.0,1563,1,0
66.72,5,6,1,83.97779644040463,39.0,12335,2,0
115.7,15,6,1,103.69948766399655,71.0,973849,5,0
117.57,20,6,1,86.37923199849503,41.0,1526206,0,0
116.35,10,6,1,104.96183534935523,52.0,1804,11,0
47.1,16,0,0,48.57471135243359,42.0,2060,7,0
5.5,0,0,0,63.14898106551285,60.0,519,9,0
84.47,0,3,0,75.37879744192547,33.0,19408,2,0
92.2,14,5,1,127.34088443184827,37.0,341043,10,0
64.0,9,5,1,68.82142527454992,41.0,760,2,0
1.75,8,4,0,96.65665811377096,62.0,7987,9,0
43.74,6,4,0,85.37797595930812,39.0,242,2,0
185.94,2,2,0,60.01563223534334,52.0,151785,4,0
106.67,19,6,1,58.515392181168,89.0,47211,10,0
16.15,16,4,0,64.79646089352913,88.0,376,7,0
109.74,10,4,0,40.699214575933375,59.0,571,4,0
9.9,22,5,1,112.3993151723383,33.0,116001,10,0
50.55,11,5,1,81.43863495821046,52.0,5621,8,0
16.91,18,4,0,80.28527902231171,54.0,5901,10,0
686.27,20,6,1,112.88664858947202,29.0,3224,9,0
86.37,1,1,0,44.78131208578106,79.0,6018,4,0
65.66,21,6,1,60.050541038902075,37.0,632,1,0
48.11,13,3,0,86.32918172438099,75.0,1139,1,0
28.77,8,1,0,21.261749694531925,57.0,1656,2,0
2.97,5,6,1,50.58652288330888,80.0,184,11,0
75.37,6,6,1,76.07114578404536,26.0,136,2,0
2.75,15,6,1,77.93327120631318,49.0,3996,11,0
80.09,10,4,0,91.77548159412106,72.0,695,2,0
41.56,3,0,0,83.07628145386687,28.0,1423,2,0
151.64,1,3,0,82.89792032294946,60.0,653,4,0
2.76,14,0,0,93.66568056701165,50.0,1766,0,0
32.78,17,0,0,45.27145654807521,85.0,36784,6,0
164.3,20,2,0,100.57767788884298,89.0,47211,7,0
38.29,23,1,0,69.16911680392121,52.0,381459,7,0
151.86,2,3,0,93.86961226651647,70.0,759,4,0
50.78,5,3,0,88.25122095650453,46.0,509,2,0
81.06,12,6,1,23.371515699746872,43.0,673342,6,0
5.28,8,1,0,47.22790399631835,98.0,3066,8,0
